Name,Address,Latitude,Longitude
ATM FURAMA,"103-105, Võ Nguyên Giáp, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Thành Phố Đà Nẵng, Việt Nam",16.038122,108.248215
ATM PGD Lạc Long Quân,"593 Bình Thới, Phường 10, Quận 11, Thành Phố Hồ Chí Minh, Việt Nam",10.762844,106.6408
ATM PGD Phú Mỹ Hưng,"1485 Nguyễn Văn Linh, Khu Phố Mỹ Toàn 1, Phường Tân Phong, Quận 7, Thành Phố Hồ Chí Minh, Việt Nam",10.728284,106.70206
ATM PGD Duy Tân,"69 Phạm Ngọc Thạch, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",10.786451,106.691414
ATM PGD Ninh Kiều,"81A -81B – 83 Đường Nguyễn Trãi, Phường Tân An, Quận Ninh Kiều, Thành Phố Cần Thơ",10.04049,105.784996
ATM PGD Trung Hòa,"80 Trung Kính, Phường Yên  Hoà, Quận Cầu Giấy, Thành Phố Hà Nội, Việt Nam",21.015574,105.79268
ATM PGD Bến Cát,"Lô C, Ô số 1, KDC Mỹ Phước 4 - Khu A, phường Mỹ Phước, thị xã Bến Cát, tỉnh Bình Dương, Việt Nam",11.148853,106.61145
ATM HAKSAN,"Ấp 3, Xã Tân Định, Thị xã Bến Cát, Tỉnh Bình Dương, Việt Nam",11.06173,106.61213
ATM PGD Hải Châu,"Lô 500A Điện Biên Phủ,Phường Hoà Khê, Quận Thanh Khê, Thành Phố Đà Nẵng, Việt Nam",16.067574,108.18418
ATM PGD Nguyễn Duy Trinh,"201 Nguyễn Duy Trinh, Phường Bình Trưng Tây, Thành phố Thủ Đức, Thành Phố Hồ Chí Minh, Việt Nam",10.788371,106.76344
ATM PGD Long Hậu,"MB101 Trung tâm dịch vụ khu công nghiệp Long Hậu, Xã Long Hậu, Huyện Cần Giuộc, Tỉnh Long An, Việt Nam",10.638036,106.713356
ATM CN Đồng Nai,"208D Phạm Văn Thuận, Phường Thống Nhất, Thành Phố Biên Hòa, Tỉnh Đồng Nai, Việt Nam",10.958167,106.839714
ATM CTY Nghị Phong 1,"KCN Trần Quốc Toản, phường 11, TP. Cao Lãnh, Tỉnh Đồng Tháp, Việt Nam",10.50314,105.568634
ATM CTY Tiến Đạt,"Quốc lộ 1A, Khu vực 7, Phường Bùi Thị Xuân, Thành phố Quy Nhơn, Tỉnh Bình Định, Việt Nam",13.817562,109.18019
ATM Bà Triệu,"298 Bà Triệu, Phường Vĩnh Trại, Thành phố Lạng Sơn, Tỉnh Lạng Sơn, Việt Nam",21.854918,106.76152
ATM PGD Đức Trọng,"546 Quốc lộ 20, tổ dân Phố 19, thị trấn Liên Nghĩa, Huyện Đức Trọng, Tỉnh Lâm Đồng, Việt Nam",11.728433,108.37057
ATM CN Thái Nguyên,"Đường Bắc Sơn, KDC số 01, Phường Hoàng Văn Thụ, Thành Phố Thái Nguyên, Tỉnh Thái Nguyên, Việt Nam",21.594887,105.82854
ATM PGD TRẢNG BÀNG,"22 Quốc lộ 22, tổ 1, Khu Phố Gia Huỳnh, Phường Trảng Bàng, Thị xã Trảng Bàng , Tỉnh Tây Ninh, Việt Nam",11.031954,106.36263
ATM PGD Hương Sơn,"56 Nguyễn Tuấn Thiện, khu phố 1, thị trấn Phố Châu, Huyện Hương Sơn, Tỉnh Hà Tĩnh, Việt Nam",18.5111,105.423515
ATM PGD Xa Mát,"12 Nguyễn Văn Linh,  khu phố 2, Thị trấn Tân Biên, Huyện Tân Biên, Tỉnh Tây Ninh, Việt Nam",11.542656,106.00512
ATM CN Vĩnh Phúc,"Số 3 đường Mê Linh, Phường Liên Bảo, Thành Phố Vĩnh Yên, Tỉnh Vĩnh Phúc, Việt Nam",21.313557,105.59832
