Name,Address,Type,WorkingHour,Latitude,Longitude
ATM Nhà Máy Chế Biến Gỗ Phù Cát,"CCN Cát Nhơn, huyện Phù Cát, tỉnh Bình Định",,<p>Hoạt động 247</p>,13.963985,109.159285
ATM Lữ Đoàn PK 573,"QL19, Nhơn Hòa, Anh Nhơn, Bình Định",,<p>Hoạt động 247</p>,13.852410,109.091431
Smartbank CN Mỹ Đình,"Tòa nhà HH4 Sông Đà Twin Tower, đường Phạm Hùng, phường Mỹ Đình 1, quận Nam Từ Liêm, thành phố Hà Nội.",,<p>Hoạt động 247</p>,21.0176406,105.778807
ATM/CRM KĐT Làng Quốc Tế Thăng Long,"Tòa nhà A5 - Làng Quốc Tế Thăng Long, Cầu Giấy,Hà Nội",,<p>Hoạt động 247</p>,21.0390476,105.7907469
ATM/CRM CN Sở Giao Dịch 1,"Số 18 Lê Văn Lương,Cầu Giấy, Hà Nội",,<p>Hoạt động 247</p>,21.0074993,105.8074412
ATM Lữ đoàn 7 - Quân đoàn 3,"Lữ 7, Thôn 1 , Xã Hà Tam, Huyện Đăk Pơ, Tỉnh Gia Lai",,<p>Hoạt động 247</p>,13.9907961,108.4544134
ATM LỮ ĐOÀN 273,"Thôn Hà Lòng, xã Kdang, Huyện Đăk Đoa, Tỉnh Gia Lai",,<p>Hoạt động 247</p>,14.0184518,108.159963
CRM PGD Chư Sê,"Số 868 đường Hùng Vương, huyện Chư Sê, tỉnh Gia Lai",,<p>Hoạt động 247</p>,13.75382,108.07923
ATM Công ty Crucialtec Vina,"KCN Yên Phong, xã Long Châu, Huyện Yên Phong,  Tỉnh Bắc Ninh",,<p>Hoạt động 247</p>,21.2029044,106.0061139
ATM Trung tâm Huấn luyên,"Đường 2, xã Phù lỗ, huyện Sóc sơn, Hà Nội",,<p>Hoạt động 247</p>,21.1047685,105.6699129
ATM TCT Thiết bị điện Đông Anh,"Số 189 Lâm Tiên, Thị trấn Đông Anh, Huyện Đông Anh, TP HN",,<p>Hoạt động 247</p>,21.1615475,105.8531887
ATM Công ty Dệt may Huế,"Số 122 Dương Thiệu Tước, phường Thủy Dương, thị xã Hương Thuỷ, tỉnh Thừa Thiên Huế",,<p>Hoạt động 247</p>,16.4400404,107.6184299
ATM Công ty Scavi Huế,"Khu Công nghiệp Phong Điền, Thị trấn Phong Điền, Huyện Phong Điền, Thừa Thiên Huế",,<p>Hoạt động 247</p>,16.577661,107.3772691
ATM Đại học Kinh tế Huế,"99 Hồ Đắc Di, An Cựu, thành phố Huế, tỉnh Thừa Thiên Huế",,<p>Hoạt động 247</p>,16.26368556,107.36144036
ATM Bộ đội Biên phòng tỉnh Bà Rịa Vũng Tàu,"Số 9 đường Lê Lợi, Phường 4, Vũng Tàu",,<p>Hoạt động 247</p>,10.67036,107.00236
ATM/CRM Chi nhánh Vũng Tàu,"Số 81 Nguyễn Thái Học, phường 7, thành phố Vũng Tàu",,<p>Hoạt động 247</p>,10.363613,107.081880
ATM Trung Đoàn 261,"104/1 Nguyễn Thiện Thuật, Phường Thắng Nhất, thành phố Vũng Tàu, tỉnh Bà Rịa Vũng Tàu",,<p>Hoạt động 247</p>,10.382010,107.098481
CRM PGD Long Điền,"Số 48, tổ 6, ấp Lò Vôi, xã Phước Hưng, Long Điền, Bà Rịa Vũng Tàu",,<p>Hoạt động 247</p>,10.74864,107.20012
ATM Bộ tư lệnh Cảnh sát biển 3,"Số 879, đường 30/4, phường 11, thành phố Vũng Tàu, tỉnh Bà Rịa Vũng Tàu",,<p>Hoạt động 247</p>,10.399044,107.122001
