Province,Name,Address,Latitude,Longitude
Hà Nội,ATM 110 Nguyen Huu Huan,ATM 110 Nguyen Huu Huan110 Nguyen Huu Huan,21.031594,105.854523
Hà Nội,ATM 110 Nguyen Huu Huan,ATM 110 Nguyen Huu Huan110 Nguyen Huu Huan,21.031594,105.854523
Hà Nội,ATM 81 Vong Ha,ATM 81 Vong Ha81 Vong Ha,21.031013,105.857528
Hà Nội,ATM 23 Quang Trung,ATM 23 Quang Trung23 Quang Trung,21.023072,105.849128
Hà Nội,ATM 23 Quang Trung,ATM 23 Quang Trung23 Quang Trung,21.023072,105.849128
Hà Nội,ATM 73 Hang Giay,ATM 73 Hang Giay73 Hang Giay,21.038504,105.848559
Hà Nội,"ATM 10 Le Phung Hieu, Trang Tien","ATM 10 Le Phung Hieu, Trang Tien10 Le Phung Hieu, Trang Tien",21.026158,105.857237
Hà Nội,"ATM So 71 Hang Trong, Hoan Kiem, Ha Noi","ATM So 71 Hang Trong, Hoan Kiem, Ha NoiSo 71 Hang Trong, Hoan Kiem, Ha Noi",21.029418,105.850533
Hà Nội,ATM 61 Hang Ngang,ATM 61 Hang Ngang61 Hang Ngang,21.034078,105.850761
Hà Nội,ATM 61 Hang Ngang,ATM 61 Hang Ngang61 Hang Ngang,21.034078,105.850761
Hà Nội,ATM 36 Bat Dan,ATM 36 Bat Dan36 Bat Dan,21.03381,105.846859
Hà Nội,ATM 36 Bat Dan,ATM 36 Bat Dan36 Bat Dan,21.03381,105.846859
Hà Nội,ATM 17 Hang Thung Hoan Kiem HN,ATM 17 Hang Thung Hoan Kiem HN17 Hang Thung Hoan Kiem HN,21.032189,105.854915
Hà Nội,ATM So 04 Ngo Gach Hoan Kiem HN,ATM So 04 Ngo Gach Hoan Kiem HNSo 04 Ngo Gach Hoan Kiem HN,21.036334,105.850704
Hà Nội,Chi nhánh Tây Hồ,"Chi nhánh Tây HồSố 447 Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Thành phố Hà Nội",21.05921,105.808676
Hà Nội,Chi nhánh Tây Hồ - Phòng giao dịch Số 21,"Chi nhánh Tây Hồ - Phòng giao dịch Số 21Tầng 1, tầng 2, số 473 đường Âu Cơ, Phường Nhật Tân, Quận Tây Hồ,  Thành phố Hà Nội",21.078924,105.819477
Hà Nội,Chi nhánh Tây Hồ - Phòng giao dịch Số 5,"Chi nhánh Tây Hồ - Phòng giao dịch Số 5Số 98+100 đường Nghi Tàm, Phường Yên Phụ, Quận Tây Hồ, Thành phố Hà Nội",21.057833,105.835577
Hà Nội,Chi nhánh Tây Hồ - Phòng giao dịch Phú Thượng,"Chi nhánh Tây Hồ - Phòng giao dịch Phú ThượngSố 146, phố Phú Gia, Phường Phú Thượng,  Quận Tây Hồ, Thành phố Hà Nội",0.0,0.0
